1 25 49
1615441 3940225 6265009
3690241 3940225 4190209
452929 3972049 7491169
2745649 3988009 5230369
14161 4020025 8025889
461041 4020025 7579009
1129969 4068289 7006609
3389281 4116841 4844401
271441 4165681 8059921
2719201 4165681 5612161
201601 4182025 8162449
1515361 4182025 6848689
2209 4214809 8427409
1168561 4280761 7392961
128881 4330561 8532241
1540081 4363921 7187761
47089 4431025 8814961
388129 4431025 8473921
4190209 4464769 4739329
3659569 4481689 5303809
4092529 4481689 4870849
37249 4515625 8994001
3352561 4515625 5678689
591361 4532641 8473921
2666689 4566769 6466849
2660161 4583881 6507601
2211169 4635409 7059649
152881 4669921 9186961
368449 4687225 9006001
2024929 4687225 7349521
529 4721929 9443329
1787569 4721929 7656289
1456849 4826809 8196769
4068289 4897369 5726449
323761 4932841 9541921
22801 4950625 9878449
3301489 4950625 6599761
966289 5004169 9042049
2588881 5040025 7491169
4739329 5040025 5340721
73441 5058001 10042561
4157521 5058001 5958481
744769 5094049 9443329
3598609 5094049 6589489
3066001 5148361 7230721
1940449 5166529 8392609
108241 5202961 10297681
564001 5221225 9878449
2563201 5221225 7879249
485809 5257849 10029889
9409 5276209 10543009
2093809 5313025 8532241
4870849 5313025 5755201
1366561 5331481 9296401
1661521 5424241 9186961
3236401 5424241 7612081
277729 5442889 10608049
261121 5480281 10699441
877969 5536609 10195249
2505889 5536609 8567329
1270129 5555449 9840769
124609 5650129 11175649
5340721 5669161 5997601
923521 5707321 10491121
4092529 5726449 7360369
69169 5784025 11498881
485809 5784025 11082241
3508129 5784025 8059921
4844401 5784025 6723649
3972049 5841889 7711729
625681 5880625 11135569
1270129 5880625 10491121
3157729 5938969 8720209
2436721 5958481 9480241
201601 6076225 11950849
380689 6076225 11771761
1957201 6076225 10195249
2411809 6076225 9740641
786769 6115729 11444689
49 6135529 12271009
1745041 6255001 10764961
5755201 6255001 6754801
192721 6295081 12397441
4800481 6295081 7789681
5997601 6355441 6713281
1129969 6375625 11621281
5303809 6375625 7447441
37249 6416089 12794929
4635409 6416089 8196769
1168561 6477025 11785489
3996001 6477025 8958049
3066001 6497401 9928801
66049 6538249 13010449
790321 6558721 12327121
3389281 6558721 9728161
2307361 6661561 11015761
2819041 6661561 10504081
146689 6723649 13300609
2289169 6786025 11282881
5726449 6786025 7845601
5041 6806881 13608721
4739329 6848689 8958049
1635841 6869641 12103441
1803649 6932689 12061729
332929 7059649 13786369
14161 7102225 14190289
1366561 7102225 12837889
2961841 7102225 11242609
6713281 7102225 7491169
1062961 7123561 13184161
5958481 7123561 8288641
5230369 7166329 9102289
4532641 7230721 9928801
117649 7252249 14386849
982081 7295401 13608721
2193361 7295401 12397441
3869089 7317025 10764961
6754801 7317025 7879249
5678689 7360369 9042049
97969 7425625 14753281
3243601 7425625 11607649
4661281 7447441 10233601
654481 7513081 14371681
2660161 7557001 12453841
3713329 7579009 11444689
2122849 7711729 13300609
388129 7756225 15124321
2845969 7756225 12666481
261121 7778521 15295921
954529 7823209 14691889
1681 7845601 15689521
1635841 7890481 14145121
6723649 7912969 9102289
7491169 7912969 8334769
2070721 7980625 13890529
5612161 7980625 10349089
187489 8025889 15864289
5121169 8048569 10975969
1203409 8094025 14984641
4566769 8094025 11621281
508369 8162449 15816529
57121 8185321 16313521
3598609 8254129 12909649
3713329 8254129 12794929
57121 8323225 16589329
829921 8323225 15816529
3073009 8392609 13712209
2719201 8462281 14205361
7879249 8508889 9138529
519841 8579041 16638241
844561 8579041 16313521
1681 8649481 17297281
5527201 8649481 11771761
1940449 8720209 15499969
1940449 8743849 15547249
4456321 8791225 13126129
8334769 8791225 9247681
7447441 8814961 10182481
277729 8862529 17447329
6589489 8862529 11135569
418609 8958049 17497489
1456849 8958049 16459249
25921 9006001 17986081
1274641 9030025 16785409
4977361 9030025 13082689
108241 9174841 18241441
7845601 9174841 10504081
2582449 9223369 15864289
6599761 9247681 11895601
3530641 9296401 15062161
5424241 9369721 13315201
134689 9394225 18653761
734449 9394225 18054001
677329 9467929 18258529
2879809 9467929 16056049
16129 9517225 19018321
1803649 9517225 17230801
4330561 9541921 14753281
2283121 9665881 17048641
9247681 9740641 10233601
8288641 9765625 11242609
332929 9815689 19298449
7360369 9815689 12271009
9138529 9840769 10543009
6241 9891025 19775809
1745041 9891025 18037009
6466849 9891025 13315201
7789681 9891025 11992369
5612161 9991921 14371681
6507601 9991921 13476241
2436721 10042561 17648401
4800481 10118761 15437041
625681 10272025 19918369
4036081 10272025 16507969
83521 10297681 20511841
4190209 10349089 16507969
1661521 10374841 19088161
863041 10426441 19989841
47089 10452289 20857489
3323329 10452289 17581249
9102289 10582009 12061729
3179089 10608049 18037009
2666689 10660225 18653761
7711729 10660225 13608721
253009 10738729 21224449
528529 10738729 20948929
1018081 10764961 20511841
10233601 10764961 11296321
49 10843849 21687649
8196769 10843849 13490929
2070721 10896601 19722481
2283121 10923025 19562929
7230721 10923025 14615329
5166529 10975969 16785409
271441 11082241 21893041
1540081 11162281 20784481
5424241 11162281 16900321
519841 11215801 21911761
4036081 11215801 18395521
1515361 11296321 21077281
4592449 11323225 18054001
10543009 11323225 12103441
9042049 11377129 13712209
96721 11458225 22819729
1079521 11458225 21836929
7612081 11485321 15358561
6265009 11648569 17032129
889249 11730625 22572001
3094081 11730625 20367169
693889 11785489 22877089
9409 11868025 23726641
2122849 11868025 21613201
5013121 11868025 18722929
11296321 11868025 12439729
10182481 11895601 13608721
9102289 11950849 14799409
2436721 11978521 21520321
8059921 12033961 16008001
388129 12145225 23902321
3869089 12145225 20421361
7059649 12145225 17230801
10504081 12145225 13786369
418609 12229009 24039409
8958049 12229009 15499969
1366561 12285025 23203489
6105841 12285025 18464209
7491169 12369289 17247409
5202961 12453841 19704721
2845969 12482089 22118209
167281 12538681 24910081
1329409 12567025 23804641
6115729 12567025 19018321
4355569 12652249 20948929
4844401 12823561 20802721
1957201 12880921 23804641
3568321 12880921 22193521
889249 12909649 24930049
36481 12967201 25897921
12103441 12967201 13830961
12439729 13053769 13667809
